nb_filter,filter_length,pool_length,subsample_length,val_acc
300,20,4,16,0.7328928747285138
40,5,5,2,0.795658327600426
50,20,1,1,0.6899480922090495
100,10,4,1,0.6130250071884327
40,1,5,8,0.7291175027453939
60,20,2,4,0.7220386959517435
300,20,3,2,0.7262859821122679
40,2,4,1,0.5828220851300966
80,1,4,2,0.6993865007328053
40,5,5,16,0.7645115575007303
60,20,2,1,0.7088249119287845
40,2,2,16,0.7107126040242651
20,10,1,4,0.704577626147997
50,5,4,2,0.775365734646038
100,10,2,1,0.6842850375957453
60,10,5,16,0.7852760693159458
100,10,3,16,0.7522416207350442
50,1,1,4,0.6503067433960655
20,20,4,16,0.7347805527596611
40,1,2,16,0.7144879646434037
80,20,2,2,0.6960830554584109
200,1,2,4,0.7607361979223524
300,20,2,4,0.7144879665280244
200,10,2,4,0.7333647906920886
50,20,3,2,0.6956111384822041
20,5,3,8,0.7300613510434275
50,20,4,4,0.7560169868111442
20,10,2,4,0.7347805596793131
200,1,1,2,0.615856532944492
50,1,2,1,0.5847097731187919
50,20,1,8,0.6748466315754409
40,5,5,4,0.7281736671333889
80,1,5,1,0.7451628117754866
80,20,1,4,0.67531854459957
60,1,2,2,0.6724870207597761
60,1,1,8,0.7498820177110201
100,20,2,8,0.740443609552937
300,1,1,2,0.3572439832886248
60,10,3,8,0.7295894239690294
80,10,2,8,0.78952335453416
80,5,1,1,0.6196318998011625
100,5,1,4,0.6951392209996813
60,1,2,8,0.7588485066707318
80,10,1,8,0.7083530006908256
200,10,3,8,0.7975460125230966
300,5,1,16,0.7277017457128527
80,20,3,16,0.7583765929855789
20,10,2,8,0.7295894281883294
