nb_filter,filter_length,pool_length,subsample_length,lstm_unit,val_acc
50,2,3,4,16,0.741387449974944
100,2,2,16,16,0.7357243935473408
200,10,2,1,32,0.698442663376823
80,1,3,4,8,0.7338367127033267
80,5,1,8,128,0.7314771089620217
40,10,3,2,8,0.7366682374573024
100,2,1,8,16,0.6908919293681312
20,1,3,4,8,0.6418121711136936
100,5,4,16,64,0.7706465324797457
200,1,2,16,64,0.7546012298067317
80,1,3,16,8,0.6998584163025788
100,1,5,1,16,0.7446908879921424
100,2,5,16,128,0.7465785760933523
300,2,5,2,32,0.6880604039953249
40,20,4,1,16,0.6073619618962653
200,20,5,2,128,0.7159037310005978
80,20,2,2,128,0.7055214718300648
200,20,5,16,16,0.7564889077816217
80,20,5,16,64,0.7678150028876394
80,5,5,16,128,0.7734780486826066
200,5,2,2,128,0.7380839958118909
60,1,2,16,8,0.7045776308454844
50,5,5,2,8,0.7607361912558583
60,5,2,16,128,0.7508258613115665
50,5,2,2,64,0.6927796122514734
60,2,5,2,128,0.7409155219722998
60,2,5,16,128,0.763567720819836
60,10,2,16,128,0.788579514787241
60,10,2,16,64,0.7479943341947828
50,2,4,8,32,0.7517697011710001
40,5,4,2,128,0.7744218949553763
100,2,1,4,16,0.6436998664826478
200,2,3,8,32,0.7385559224081016
200,2,4,4,8,0.7418593639413834
60,5,1,2,64,0.5488437993479203
200,1,5,16,128,0.763567724448434
200,1,4,4,8,0.7531854688643059
200,10,1,8,64,0.7489381707631625
80,10,1,16,8,0.7465785735336437
80,1,1,8,16,0.6149126909543119
80,10,1,1,8,0.5214723904053239
80,2,4,1,32,0.7253421411136233
80,2,1,8,16,0.6998584252334304
80,2,5,4,128,0.7324209479354024
80,2,2,1,32,0.5224162292204808
80,2,3,8,128,0.7593204307072339
80,2,5,16,128,0.7517697082031668
80,2,4,16,128,0.764511560313597
80,20,3,16,32,0.7560169821417855
300,20,2,8,8,0.7229825399320269
300,20,5,8,32,0.7286455845877831
20,1,3,2,8,0.6276545535778313
20,2,1,1,64,0.5620575743943186
300,2,1,1,16,0.5016517229325482
200,20,4,2,64,0.7546012262906484
200,20,5,4,8,0.7838603095549241
200,5,3,4,64,0.7220386990177682
200,1,1,16,32,0.741387450818804
200,5,1,8,128,0.7588485112275758
200,5,2,16,8,0.7432751276404186
200,5,2,4,8,0.6498348294366582
200,1,1,16,64,0.7479943316350741
200,1,2,16,32,0.746578571902181
200,1,4,16,64,0.7692307679087219
200,20,5,16,128,0.740443603223987
200,1,4,16,128,0.7390278436317372
200,1,3,16,128,0.7645115586540057
300,5,5,1,64,0.7088249125054221
80,10,3,8,16,0.7484662512835043
100,10,3,4,8,0.7385559224081016
100,20,3,16,8,0.7305332712825597
50,1,3,8,64,0.7503539383439536
80,1,4,4,128,0.7569608273034728
60,5,5,8,64,0.7739499757570047
200,20,5,4,32,0.7560169849827808
40,1,3,4,64,0.7626238771630324
200,20,2,16,32,0.767815007556998
40,20,5,16,64,0.7649834827186365
60,20,5,16,64,0.7682869270366562
50,1,5,4,32,0.7607361958127024
40,1,5,4,128,0.7730061315657565
20,1,3,16,64,0.7475224140681653
100,1,5,16,32,0.7394997644615714
50,1,3,4,64,0.7546012174863757
200,1,5,16,32,0.7640396395962775
100,1,5,16,128,0.7597923514245534
50,1,5,16,32,0.7083529973997716
200,1,5,16,64,0.7465785728304271
50,1,5,16,128,0.7465785711708357
