nb_filter,filter_length,pool_length,subsample_length,lstm_unit,val_acc
60,5,1,16,128,0.6503067496757904
40,20,1,4,32,0.36715431765263346
40,10,2,2,128,0.4785276111312045
100,5,2,4,8,0.5101462955348837
300,2,5,4,8,0.5790467149612756
300,2,5,16,128,0.5946201033162418
20,1,3,4,8,0.5148655049443076
80,2,5,4,16,0.6073619589427554
300,2,3,1,16,0.579990562485771
200,2,3,16,16,0.6050023586894049
50,2,2,4,8,0.5752713543737817
200,2,4,2,64,0.6300141639223409
200,2,4,8,64,0.6403964182828721
300,2,2,8,32,0.5960358674090783
80,2,1,1,128,0.5469561118936697
300,2,2,8,8,0.5285512003458688
