nb_filter,filter_length,pool_length,subsample_length,val_acc
100,10,4,2,0.5483718746785231
40,5,5,8,0.607833884181758
300,20,1,16,0.5247758418504446
200,20,4,2,0.33931099607970927
80,1,3,4,0.6554978745143444
50,10,3,8,0.6729589363576782
40,10,2,8,0.5573383688350059
200,20,5,1,0.4535158130851429
300,5,3,16,0.571024066254799
50,5,1,4,0.49834827958496747
200,10,5,4,0.5092024564630527
20,2,3,1,0.611609250089086
40,2,1,16,0.6248230292528179
100,10,5,8,0.559226049854824
100,1,5,4,0.5658329378509364
50,5,3,8,0.6134969327403668
40,5,1,8,0.6304860860460938
200,2,1,16,0.6403964153996837
40,1,1,4,0.5861255309670643
20,2,1,4,0.5950920233162803
80,1,1,4,0.5139216602608077
300,20,3,8,0.4431335548780166
60,2,3,1,0.4931571490995836
40,2,3,16,0.6342614470168406
80,5,3,8,0.6083058040763141
300,1,1,16,0.5936762629082991
50,2,3,4,0.5153374244239658
80,10,3,16,0.4860783370915816
40,20,1,16,0.6177442193650142
