nb_filter,filter_length,pool_length,subsample_length,lstm_unit,val_acc
200,1,3,8,64,0.6540821182694059
80,20,4,8,32,0.4865502613003719
80,10,4,8,16,0.5417649823365317
300,20,3,4,128,0.5276073649870219
20,20,5,1,64,0.5653610195175214
300,10,1,2,128,0.5313827250260067
100,20,1,8,64,0.5365738579656167
200,1,5,2,64,0.6413402529455345
60,2,3,1,16,0.5436526659019942
40,1,4,1,8,0.45351580648897055
40,2,1,16,128,0.6177442214746641
100,2,5,4,16,0.6120811698289342
300,1,3,8,64,0.5870693718567104
20,1,3,2,128,0.6064181210241998
20,2,1,16,8,0.5304388851841535
80,10,1,16,8,0.4440773972338694
80,2,1,2,16,0.5582822137646317
50,5,5,2,16,0.5427088230327932
300,5,1,2,128,0.6054742798708475
20,5,3,2,64,0.5710240670845946
60,5,2,2,16,0.5422369027936611
300,5,2,2,8,0.4421897104089977
50,5,5,2,64,0.6158565331484249
20,5,5,2,16,0.544596510705041
200,5,5,2,64,0.618216141066837
100,5,5,2,16,0.48985370379706045
200,5,5,2,128,0.6224634258912497
300,10,4,2,32,0.5219443166182817
80,10,2,4,16,0.4808872100062503
50,2,3,8,64,0.6498348280302249
50,10,4,8,128,0.6413402546402867
20,10,1,16,128,0.6559697965396469
40,20,3,16,32,0.516281263509861
200,20,4,4,32,0.5365738575753315
200,20,3,1,128,0.516753183569673
100,2,3,4,32,0.5563945256212287
40,10,3,8,64,0.6002831488439867
40,2,1,4,64,0.5757432787865049
50,10,4,8,64,0.62718263421772
60,1,3,8,64,0.6389806560324632
20,2,1,8,64,0.5880132069166902
20,2,5,8,64,0.6588013181150831
20,10,3,8,64,0.6446436982550898
20,2,3,8,128,0.6248230293512682
60,10,5,8,128,0.6625766878760384
50,20,3,8,128,0.6219915090556862
50,20,3,8,64,0.6588013221093538
50,1,3,8,64,0.5823501635548527
50,20,3,4,64,0.5554506836380808
80,2,4,8,32,0.646531385568697
40,2,1,8,16,0.560169890614375
100,20,5,1,32,0.4568192565241418
100,10,5,8,64,0.6224634267210454
100,2,4,2,128,0.6314299194781271
50,20,5,2,64,0.4955167507804638
200,10,2,4,16,0.5375176953602759
60,1,4,4,16,0.6083058031761966
60,1,4,4,64,0.6621047645990102
60,1,2,4,128,0.6205757424875271
200,20,1,4,128,0.5035394028905091
20,2,1,1,128,0.5455403498471937
200,20,5,8,128,0.575271354426523
60,20,5,1,128,0.5087305335516973
20,2,5,1,128,0.6149126928389326
20,20,3,16,128,0.6956111320407394
20,20,5,4,128,0.6710712613503625
20,2,5,16,128,0.616328455497207
20,2,5,4,128,0.6781500651623743
20,2,3,4,128,0.6536101902808261
20,2,2,1,32,0.5073147686009364
80,5,4,4,32,0.6101934880566743
100,5,4,2,16,0.5153374229331464
