nb_filter,filter_length,pool_length,subsample_length,lstm_unit,val_acc
300,2,2,1,64,0.5063709296064592
200,10,2,4,128,0.5625295018097768
200,10,2,16,8,0.5889570549193729
40,1,5,4,128,0.6191599823889613
20,1,5,16,32,0.5115620567867248
80,2,3,16,64,0.5842378516560627
100,20,2,4,8,0.5894289750389583
100,5,1,2,128,0.46248230241755933
100,5,2,1,64,0.4336951379930146
100,10,4,4,32,0.619159979210422
60,20,1,4,32,0.5342142523713357
50,20,3,8,16,0.6347333647947145
50,20,3,16,16,0.6352052823616233
50,20,3,4,16,0.5611137304597443
